game_id,move_id,vision,vision_simple,vision_advanced,vision_expert,snake_length,head_direction,head_pos,apple_pos,move,apple_pos_new,facing_apple,closed_region,hit,life,prob_to_live
7158,0,0030,1101,11010001,110100010010,3,0,"(5, 5)","(2, 5)",0,"(2, 5)",0,0,0,1,
7158,1,0030,1101,11010011,110100110010,3,0,"(5, 4)","(2, 5)",2,"(2, 5)",1,0,3,0,
7159,0,0030,1101,11010001,110100010010,3,0,"(5, 5)","(2, 5)",1,"(2, 5)",0,0,0,1,
7159,1,0003,1110,11100001,111000010001,3,1,"(6, 5)","(2, 5)",3,"(2, 5)",1,0,3,0,
7160,0,0030,1101,11011000,110110000010,3,0,"(5, 5)","(5, 2)",0,"(5, 2)",1,0,0,1,
7160,1,0030,1101,11011000,110110000010,3,0,"(5, 4)","(5, 2)",0,"(5, 2)",1,0,0,1,
7160,2,1030,1101,11011000,110110000010,3,0,"(5, 3)","(5, 2)",3,"(5, 2)",0,0,0,1,
7160,3,0300,1011,10111100,101111000100,3,3,"(4, 3)","(5, 2)",2,"(5, 2)",0,0,0,1,
7160,4,3000,0111,01111100,011111001000,3,2,"(4, 4)","(5, 2)",2,"(5, 2)",0,0,0,1,
7160,5,3000,0111,01111100,011111001000,3,2,"(4, 5)","(5, 2)",0,"(5, 2)",1,0,3,0,
7161,0,0030,1101,11010110,110101100010,3,0,"(5, 5)","(8, 6)",0,"(8, 6)",0,0,0,1,
7161,1,0030,1101,11010110,110101100010,3,0,"(5, 4)","(8, 6)",1,"(8, 6)",1,0,0,1,
7161,2,0003,1110,11100110,111001100001,3,1,"(6, 4)","(8, 6)",2,"(8, 6)",1,0,0,1,
7161,3,3000,0111,01110110,011101101000,3,2,"(6, 5)","(8, 6)",0,"(8, 6)",0,0,3,0,
7162,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(1, 6)",0,"(1, 6)",0,0,0,1,
7162,1,0030,1101,11010011,110100110010,3,0,"(5, 4)","(1, 6)",1,"(1, 6)",0,0,0,1,
7162,2,0003,1110,11100011,111000110001,3,1,"(6, 4)","(1, 6)",3,"(1, 6)",1,0,3,0,
7163,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(4, 6)",2,"(4, 6)",1,0,3,0,
7164,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(6, 3)",3,"(6, 3)",0,0,0,1,
7164,1,0300,1011,10111100,101111000100,3,3,"(4, 5)","(6, 3)",2,"(6, 3)",0,0,0,1,
7164,2,3000,0111,01111100,011111001000,3,2,"(4, 6)","(6, 3)",0,"(6, 3)",1,0,3,0,
7165,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(0, 1)",2,"(0, 1)",0,0,3,0,
7166,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(8, 1)",0,"(8, 1)",1,0,0,1,
7166,1,0030,1101,11011100,110111000010,3,0,"(5, 4)","(8, 1)",3,"(8, 1)",0,0,0,1,
7166,2,0300,1011,10111100,101111000100,3,3,"(4, 4)","(8, 1)",1,"(8, 1)",1,0,3,0,
7167,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(1, 7)",2,"(1, 7)",1,0,3,0,
7168,0,0030,1101,11010100,110101000010,3,0,"(5, 5)","(9, 5)",3,"(9, 5)",0,0,0,1,
7168,1,0300,1011,10110100,101101000100,3,3,"(4, 5)","(9, 5)",0,"(9, 5)",0,0,0,1,
